City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
209,Cherskiy,RU,2021-09-07 19:32:19,68.75,161.3,31.14,96,100,11.48
210,Timbiqui,CO,2021-09-07 19:32:19,2.7717,-77.6654,80.92,81,68,7.78
211,Tuatapere,NZ,2021-09-07 19:29:11,-46.1333,167.6833,39.81,75,97,19.28
212,Naze,JP,2021-09-07 19:32:19,28.3667,129.4833,77.63,84,97,5.79
213,Esna,EG,2021-09-07 19:32:19,25.2934,32.554,89.62,15,0,15.01
214,Henties Bay,NA,2021-09-07 19:32:20,-22.116,14.2845,55.85,84,0,4.03
215,Kapaa,US,2021-09-07 19:32:20,22.0752,-159.319,82.72,69,40,3.0
216,Banda Aceh,ID,2021-09-07 19:32:20,5.5577,95.3222,79.57,82,22,10.4
217,Cabo San Lucas,MX,2021-09-07 19:32:21,22.8909,-109.9124,91.51,66,40,6.91
218,Iquique,CL,2021-09-07 19:32:21,-20.2208,-70.1431,62.64,76,100,11.36
219,Digha,IN,2021-09-07 19:32:21,21.6833,87.55,82.02,83,100,12.57
220,Kuah,MY,2021-09-07 19:32:22,6.3265,99.8432,82.38,83,20,0.0
221,Kavaratti,IN,2021-09-07 19:29:56,10.5669,72.642,81.52,81,62,18.92
222,Cartagena,CO,2021-09-07 19:32:22,10.3997,-75.5144,85.62,74,75,6.91
223,Kalaleh,IR,2021-09-07 19:32:22,37.3807,55.4916,75.11,77,94,8.37
224,Koshurnikovo,RU,2021-09-07 19:32:22,54.1667,93.3,41.38,82,0,3.0
225,Upernavik,GL,2021-09-07 19:30:15,72.7868,-56.1549,34.95,59,100,7.74
226,Aksu,CN,2021-09-07 19:32:23,41.1231,80.2644,75.2,24,0,2.91
227,Ponta Do Sol,PT,2021-09-07 19:28:22,32.6667,-17.1,78.71,78,22,5.95
228,Saint-Augustin,CA,2021-09-07 19:32:23,51.226,-58.6502,57.61,95,100,11.68
229,Esperance,AU,2021-09-07 19:32:23,-33.8667,121.9,55.24,33,6,18.81
230,San Luis,AR,2021-09-07 19:31:32,-33.295,-66.3356,45.9,82,100,22.44
231,Kericho,KE,2021-09-07 19:32:24,-0.3677,35.2831,56.34,96,6,4.05
232,Santa Fe,AR,2021-09-07 19:29:13,-31.6333,-60.7,63.01,95,100,5.99
233,Isangel,VU,2021-09-07 19:32:24,-19.55,169.2667,69.91,83,80,14.97
234,Chuy,UY,2021-09-07 19:32:24,-33.6971,-53.4616,56.5,95,100,19.19
235,Kununurra,AU,2021-09-07 19:32:25,-15.7667,128.7333,67.98,30,40,4.61
236,Port Hedland,AU,2021-09-07 19:31:28,-20.3167,118.5667,62.65,17,2,9.22
237,Lorengau,PG,2021-09-07 19:32:25,-2.0226,147.2712,78.87,81,69,3.38
238,Pacific Grove,US,2021-09-07 19:32:25,36.6177,-121.9166,94.15,81,1,5.01
239,Jinxiang,CN,2021-09-07 19:32:26,27.4327,120.6062,78.28,88,100,3.78
240,High Level,CA,2021-09-07 19:32:26,58.5169,-117.136,66.31,48,20,3.44
241,Mackenzie,CA,2021-09-07 19:32:26,55.2999,-123.1698,62.82,51,1,10.36
242,Torbay,CA,2021-09-07 19:29:45,47.6666,-52.7314,64.27,96,90,25.32
243,Santa Juliana,PH,2021-09-07 19:32:27,15.3283,120.4286,75.34,91,100,2.39
244,Gallup,US,2021-09-07 19:29:34,35.5281,-108.7426,88.56,13,1,4.0
245,Aswan,EG,2021-09-07 19:32:27,24.0934,32.907,96.1,14,0,11.5
246,Popondetta,PG,2021-09-07 19:32:27,-8.7537,148.2534,71.91,97,100,2.21
247,Caravelas,BR,2021-09-07 19:32:28,-17.7125,-39.2481,74.79,85,51,9.84
248,Eyrarbakki,IS,2021-09-07 19:32:28,63.863,-21.1481,52.21,79,55,7.56
249,Redcliffe,AU,2021-09-07 19:32:28,-27.2307,153.0973,56.14,54,0,9.22
250,Dalvik,IS,2021-09-07 19:32:28,65.9702,-18.5286,48.13,78,98,4.25
251,Nizhniy Kuranakh,RU,2021-09-07 19:32:29,58.8353,125.4869,48.85,98,100,2.51
252,Nuevo Casas Grandes,MX,2021-09-07 19:31:34,30.4167,-107.9167,84.74,43,0,7.0
253,Bairiki,KI,2021-09-07 19:32:29,1.3292,172.9752,82.4,74,75,13.8
254,Deputatskiy,RU,2021-09-07 19:32:29,69.3,139.9,26.35,84,76,10.13
255,Vanavara,RU,2021-09-07 19:32:30,60.34,102.2797,41.63,97,100,2.46
256,Pevek,RU,2021-09-07 19:29:53,69.7008,170.3133,31.35,95,100,12.48
257,Copiapo,CL,2021-09-07 19:32:14,-27.3667,-70.3333,58.69,31,0,7.96
258,Bumba,CD,2021-09-07 19:32:30,2.1833,22.4667,69.26,98,100,3.27
259,Kindu,CD,2021-09-07 19:32:30,-2.95,25.95,70.25,95,98,3.24
260,Walvis Bay,NA,2021-09-07 19:32:31,-22.9575,14.5053,56.08,82,0,8.05
261,Waw,SS,2021-09-07 19:30:06,7.7029,27.9953,70.47,97,28,4.27
262,Katsuura,JP,2021-09-07 19:32:31,35.1333,140.3,66.31,72,100,6.04
263,Lagoa,PT,2021-09-07 19:32:31,39.05,-27.9833,70.41,76,100,6.71
